Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,4992,1988,80,21066,4235.79,3.045%,27.68857,6.67,3.96,246.6
user_info_2,4991,2144,80,21137,4545.14,3.687%,27.68686,14.79,6.46,547.1
user_info_3,4991,2059,79,21154,4365.36,3.346%,27.67919,12.12,6.48,448.5
object_info_1,4991,2126,79,21061,4459.27,3.406%,27.57276,8.47,4.27,314.7
object_info_3,4991,1973,80,21066,4192.03,2.865%,27.52289,15.80,4.33,587.8
object_info_2,4991,2153,81,21067,4501.46,3.386%,27.36444,14.44,4.29,540.3
object_info_4,4991,2051,77,21067,4336.65,3.066%,27.21003,8.32,4.28,313.0
TOTAL,34938,2070,77,21154,4378.78,3.257%,189.80926,79.39,33.52,428.3
