Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,1250,2152,81,21066,4375.01,3.120%,11.60071,2.82,1.66,248.5
user_info_2,1250,2160,82,21059,4452.18,3.280%,11.57868,6.08,2.71,537.9
user_info_3,1250,1979,82,21063,4152.23,3.200%,11.43966,4.97,2.68,445.1
object_info_1,1250,2406,88,21052,4777.66,4.240%,11.41698,3.74,1.75,335.4
object_info_3,1250,2295,81,21066,4613.47,3.760%,11.38371,6.75,1.78,607.4
object_info_2,1250,2239,81,21062,4444.39,2.880%,10.08903,5.21,1.59,528.9
object_info_4,1250,2179,85,21068,4422.72,3.040%,9.90585,3.02,1.56,312.4
TOTAL,8750,2201,81,21068,4467.87,3.360%,69.00576,29.03,12.18,430.8
